src,tar,src_type,tar_type,is_net,arc_delay
_506_/A,_506_/Y,pin,pin,0,1.3739129625656155e-11
_507_/A1,_507_/Y,pin,pin,0,1.6219600315614535e-11
_507_/A2,_507_/Y,pin,pin,0,2.0484206345039446e-11
_507_/B,_507_/Y,pin,pin,0,2.064611676066974e-11
_508_/A1,_508_/Y,pin,pin,0,2.594229345231902e-11
_508_/A2,_508_/Y,pin,pin,0,2.611038989186465e-11
_508_/A3,_508_/Y,pin,pin,0,3.1154231971974866e-11
_508_/B1,_508_/Y,pin,pin,0,2.509761495850249e-11
_509_/A,_509_/Y,pin,pin,0,2.1127471300230738e-11
_509_/B,_509_/Y,pin,pin,0,1.8713374599910182e-11
_510_/A,_510_/Y,pin,pin,0,2.3565807291681118e-11
_510_/B,_510_/Y,pin,pin,0,3.266988762851142e-11
_510_/C,_510_/Y,pin,pin,0,2.605337473537972e-11
_511_/A1,_511_/Y,pin,pin,0,2.2613695638273867e-11
_511_/A2,_511_/Y,pin,pin,0,1.7722328812808108e-11
_511_/B,_511_/Y,pin,pin,0,1.9719744934199035e-11
_512_/A1,_512_/Y,pin,pin,0,1.5956963181351647e-11
_512_/A2,_512_/Y,pin,pin,0,1.3707248010252915e-11
_512_/B,_512_/Y,pin,pin,0,1.5309597339863146e-11
_513_/A1,_513_/Y,pin,pin,0,2.7113309861159784e-11
_513_/A2,_513_/Y,pin,pin,0,2.947983523959863e-11
_513_/B,_513_/Y,pin,pin,0,3.0383712906756344e-11
_513_/C,_513_/Y,pin,pin,0,4.2809721045866667e-11
_515_/A1,_515_/Y,pin,pin,0,2.4173222451517873e-11
_515_/A2,_515_/Y,pin,pin,0,2.6089590557387687e-11
_515_/B,_515_/Y,pin,pin,0,1.9542313947629175e-11
_516_/A,_516_/Y,pin,pin,0,1.8541361154755798e-11
_516_/B,_516_/Y,pin,pin,0,1.8092865747276754e-11
_517_/A1,_517_/Y,pin,pin,0,1.6037499453447346e-11
_517_/A2,_517_/Y,pin,pin,0,2.3176427790816412e-11
_517_/B,_517_/Y,pin,pin,0,2.0741273282220973e-11
_518_/A1,_518_/Y,pin,pin,0,2.280766547846369e-11
_518_/A2,_518_/Y,pin,pin,0,2.243875571461551e-11
_518_/B,_518_/Y,pin,pin,0,2.2033111446440046e-11
_519_/A1,_519_/Y,pin,pin,0,2.572674191736457e-11
_519_/A2,_519_/Y,pin,pin,0,2.269225606033043e-11
_519_/A3,_519_/Y,pin,pin,0,1.9602175785338183e-11
_519_/B1,_519_/Y,pin,pin,0,2.488871608807841e-11
_520_/A,_520_/Y,pin,pin,0,2.3199719922928352e-11
_520_/B,_520_/Y,pin,pin,0,2.2523720735745378e-11
_521_/A1,_521_/Y,pin,pin,0,2.782082723917778e-11
_521_/A2,_521_/Y,pin,pin,0,1.3957707385714446e-11
_521_/B,_521_/Y,pin,pin,0,2.1051141732564282e-11
_522_/A1,_522_/Y,pin,pin,0,1.7556985379418855e-11
_522_/A2,_522_/Y,pin,pin,0,2.265336355999903e-11
_522_/B,_522_/Y,pin,pin,0,1.5579400616805295e-11
_523_/A1,_523_/Y,pin,pin,0,2.3354738282188592e-11
_523_/A2,_523_/Y,pin,pin,0,2.8781844962910696e-11
_523_/B1,_523_/Y,pin,pin,0,2.267429646818364e-11
_523_/B2,_523_/Y,pin,pin,0,2.2586451806083652e-11
_523_/C,_523_/Y,pin,pin,0,2.155654647839622e-11
_524_/A,_524_/Y,pin,pin,0,1.4434724249223763e-11
_524_/B,_524_/Y,pin,pin,0,1.4067972481379698e-11
_525_/A1,_525_/Y,pin,pin,0,2.7251105885750526e-11
_525_/A2,_525_/Y,pin,pin,0,1.3316355830517157e-11
_525_/B,_525_/Y,pin,pin,0,2.051123160207169e-11
_526_/A1,_526_/Y,pin,pin,0,1.7932400356301947e-11
_526_/A2,_526_/Y,pin,pin,0,2.7795344151315682e-11
_526_/B,_526_/Y,pin,pin,0,2.2050998180200843e-11
_527_/A1,_527_/Y,pin,pin,0,2.812954903730347e-11
_527_/A2,_527_/Y,pin,pin,0,2.6541569289606493e-11
_527_/B,_527_/Y,pin,pin,0,2.985798067123291e-11
_527_/C,_527_/Y,pin,pin,0,3.303159135104039e-11
_528_/A,_528_/Y,pin,pin,0,2.1853357665135853e-11
_528_/B,_528_/Y,pin,pin,0,2.317710086352509e-11
_528_/C,_528_/Y,pin,pin,0,2.6483142068212118e-11
_529_/A1,_529_/Y,pin,pin,0,1.9533359305046183e-11
_529_/A2,_529_/Y,pin,pin,0,1.9743028392693596e-11
_529_/B,_529_/Y,pin,pin,0,2.28702421584126e-11
_530_/A1,_530_/Y,pin,pin,0,1.895899756632069e-11
_530_/A2,_530_/Y,pin,pin,0,2.6713152523338834e-11
_530_/B,_530_/Y,pin,pin,0,2.314446030660111e-11
_531_/A1,_531_/Y,pin,pin,0,1.712083946836529e-11
_531_/A2,_531_/Y,pin,pin,0,2.548468554242067e-11
_531_/B,_531_/Y,pin,pin,0,2.0808828618545938e-11
_532_/A1,_532_/Y,pin,pin,0,2.6307791015089954e-11
_532_/A2,_532_/Y,pin,pin,0,2.6785891213410018e-11
_532_/B1,_532_/Y,pin,pin,0,2.236584355219673e-11
_532_/B2,_532_/Y,pin,pin,0,2.614162879222004e-11
_532_/C,_532_/Y,pin,pin,0,1.7308987576569734e-11
_533_/A1,_533_/Y,pin,pin,0,2.03568811113497e-11
_533_/A2,_533_/Y,pin,pin,0,1.90656154058777e-11
_533_/B,_533_/Y,pin,pin,0,1.7494007978346993e-11
_534_/A,_534_/Y,pin,pin,0,2.1314200404631833e-11
_534_/B,_534_/Y,pin,pin,0,2.156730870284118e-11
_535_/A1,_535_/Y,pin,pin,0,2.7917322967252467e-11
_535_/A2,_535_/Y,pin,pin,0,3.5052336033736253e-11
_535_/B,_535_/Y,pin,pin,0,2.8012257444198774e-11
_535_/C,_535_/Y,pin,pin,0,2.8064222820645135e-11
