src,tar,src_type,tar_type
_555_/A2,_555_,pin,cell
_555_/B,_555_,pin,cell
_555_,_555_/Y,cell,pin
_556_/A,_556_,pin,cell
_556_/B,_556_,pin,cell
_556_,_556_/Y,cell,pin
_557_/A1,_557_,pin,cell
_557_/A2,_557_,pin,cell
_557_/B,_557_,pin,cell
_557_,_557_/Y,cell,pin
_558_/A,_558_,pin,cell
_558_/B,_558_,pin,cell
_558_/C,_558_,pin,cell
_558_,_558_/Y,cell,pin
_559_/A1,_559_,pin,cell
_559_/A2,_559_,pin,cell
_559_/B1,_559_,pin,cell
_559_/B2,_559_,pin,cell
_559_/C,_559_,pin,cell
_559_,_559_/Y,cell,pin
_560_/A1,_560_,pin,cell
_560_/A2,_560_,pin,cell
_560_/B,_560_,pin,cell
_560_,_560_/Y,cell,pin
_561_/A,_561_,pin,cell
_561_/B,_561_,pin,cell
_561_/C,_561_,pin,cell
_561_,_561_/Y,cell,pin
_562_/A,_562_,pin,cell
_562_,_562_/Y,cell,pin
_563_/A,_563_,pin,cell
_563_/B,_563_,pin,cell
_563_/C,_563_,pin,cell
_563_,_563_/Y,cell,pin
_564_/A1,_564_,pin,cell
_564_/A2,_564_,pin,cell
_564_/B,_564_,pin,cell
_564_/C,_564_,pin,cell
_564_,_564_/Y,cell,pin
_565_/A,_565_,pin,cell
_565_/B,_565_,pin,cell
_565_/C,_565_,pin,cell
_565_/D,_565_,pin,cell
_565_,_565_/Y,cell,pin
_566_/A,_566_,pin,cell
_566_/B,_566_,pin,cell
_566_/C,_566_,pin,cell
_566_,_566_/Y,cell,pin
_567_/A,_567_,pin,cell
_567_/B,_567_,pin,cell
_567_,_567_/Y,cell,pin
_568_/A,_568_,pin,cell
_568_/B,_568_,pin,cell
_568_/C,_568_,pin,cell
_568_,_568_/Y,cell,pin
_569_/A,_569_,pin,cell
_569_/B,_569_,pin,cell
_569_/C,_569_,pin,cell
_569_/D,_569_,pin,cell
_569_,_569_/Y,cell,pin
_570_/A1,_570_,pin,cell
_570_/A2,_570_,pin,cell
_570_/B,_570_,pin,cell
_570_/C,_570_,pin,cell
_570_,_570_/Y,cell,pin
_571_/A1,_571_,pin,cell
_571_/A2,_571_,pin,cell
_571_/B,_571_,pin,cell
_571_/C,_571_,pin,cell
_571_,_571_/Y,cell,pin
_572_/A1,_572_,pin,cell
_572_/A2,_572_,pin,cell
_572_/B1,_572_,pin,cell
_572_/B2,_572_,pin,cell
_572_/C,_572_,pin,cell
_572_,_572_/Y,cell,pin
_573_/A,_573_,pin,cell
_573_,_573_/Y,cell,pin
_574_/A1,_574_,pin,cell
_574_/A2,_574_,pin,cell
_574_/B,_574_,pin,cell
_574_,_574_/Y,cell,pin
_575_/A,_575_,pin,cell
_575_/B,_575_,pin,cell
_575_,_575_/Y,cell,pin
_576_/A,_576_,pin,cell
_576_/B,_576_,pin,cell
_576_/C,_576_,pin,cell
_576_,_576_/Y,cell,pin
_577_/A,_577_,pin,cell
_577_/B,_577_,pin,cell
_577_,_577_/Y,cell,pin
_578_/A1,_578_,pin,cell
_578_/A2,_578_,pin,cell
_578_/B,_578_,pin,cell
_578_,_578_/Y,cell,pin
_579_/A1,_579_,pin,cell
_579_/A2,_579_,pin,cell
_579_/B,_579_,pin,cell
_579_,_579_/Y,cell,pin
_580_/A,_580_,pin,cell
_580_/B,_580_,pin,cell
_580_/C,_580_,pin,cell
_580_/D,_580_,pin,cell
_580_,_580_/Y,cell,pin
_581_/A,_581_,pin,cell
_581_/B,_581_,pin,cell
_581_,_581_/Y,cell,pin
_582_/A1,_582_,pin,cell
_582_/A2,_582_,pin,cell
_582_/B1,_582_,pin,cell
_582_/B2,_582_,pin,cell
_582_/C,_582_,pin,cell
_582_,_582_/Y,cell,pin
_583_/A1,_583_,pin,cell
_583_/A2,_583_,pin,cell
_583_/B,_583_,pin,cell
_583_,_583_/Y,cell,pin
_584_/A1,_584_,pin,cell
_584_/A2,_584_,pin,cell
_584_/B,_584_,pin,cell
_584_/C,_584_,pin,cell
_584_,_584_/Y,cell,pin
_585_/A1,_585_,pin,cell
_585_/A2,_585_,pin,cell
_585_/B,_585_,pin,cell
_585_,_585_/Y,cell,pin
_586_/A1,_586_,pin,cell
_586_/A2,_586_,pin,cell
_586_/B,_586_,pin,cell
_586_,_586_/Y,cell,pin
_587_/A1,_587_,pin,cell
_587_/A2,_587_,pin,cell
_587_/A3,_587_,pin,cell
_587_/B1,_587_,pin,cell
_587_,_587_/Y,cell,pin
_588_/A1,_588_,pin,cell
_588_/A2,_588_,pin,cell
_588_/B,_588_,pin,cell
_588_,_588_/Y,cell,pin
_590_/A,_590_,pin,cell
_590_/B,_590_,pin,cell
_590_/C,_590_,pin,cell
_590_,_590_/Y,cell,pin
_591_/A,_591_,pin,cell
_591_,_591_/Y,cell,pin
_592_/A,_592_,pin,cell
_592_/B,_592_,pin,cell
_592_/C,_592_,pin,cell
_592_,_592_/Y,cell,pin
_593_/A,_593_,pin,cell
_593_/B,_593_,pin,cell
_593_/C,_593_,pin,cell
_593_/D,_593_,pin,cell
_593_,_593_/Y,cell,pin
_594_/A,_594_,pin,cell
_594_,_594_/Y,cell,pin
_595_/A1,_595_,pin,cell
_595_/A2,_595_,pin,cell
_595_/B,_595_,pin,cell
_595_,_595_/Y,cell,pin
_596_/A1,_596_,pin,cell
_596_/A2,_596_,pin,cell
_596_/B,_596_,pin,cell
_596_/C,_596_,pin,cell
_596_,_596_/Y,cell,pin
_597_/A1,_597_,pin,cell
_597_/A2,_597_,pin,cell
_597_/B1,_597_,pin,cell
_597_/B2,_597_,pin,cell
_597_,_597_/Y,cell,pin
_598_/A,_598_,pin,cell
_598_/B,_598_,pin,cell
_598_/C,_598_,pin,cell
_598_,_598_/Y,cell,pin
_599_/A1,_599_,pin,cell
_599_/A2,_599_,pin,cell
_599_/B,_599_,pin,cell
_599_,_599_/Y,cell,pin
_600_/A,_600_,pin,cell
_600_,_600_/Y,cell,pin
_600_/B,_600_,pin,cell
_601_/A1,_601_,pin,cell
_601_/A2,_601_,pin,cell
_601_/B,_601_,pin,cell
_601_/C,_601_,pin,cell
_601_,_601_/Y,cell,pin
_602_/A1,_602_,pin,cell
_602_/A2,_602_,pin,cell
_602_/A3,_602_,pin,cell
_602_/B1,_602_,pin,cell
_602_/B2,_602_,pin,cell
_602_/B3,_602_,pin,cell
_602_,_602_/Y,cell,pin
_603_/A,_603_,pin,cell
_603_/B,_603_,pin,cell
_603_/C,_603_,pin,cell
_603_,_603_/Y,cell,pin
_604_/A1,_604_,pin,cell
_604_/A2,_604_,pin,cell
_604_/B,_604_,pin,cell
_604_,_604_/Y,cell,pin
_605_/A,_605_,pin,cell
_605_,_605_/Y,cell,pin
_605_/B,_605_,pin,cell
_606_/A1,_606_,pin,cell
_606_/A2,_606_,pin,cell
_606_/B,_606_,pin,cell
_606_/C,_606_,pin,cell
_606_,_606_/Y,cell,pin
_607_/A1,_607_,pin,cell
_607_/A2,_607_,pin,cell
_607_/A3,_607_,pin,cell
_607_/B1,_607_,pin,cell
_607_/B2,_607_,pin,cell
_607_/B3,_607_,pin,cell
_607_,_607_/Y,cell,pin
_608_/A,_608_,pin,cell
_608_/B,_608_,pin,cell
_608_/C,_608_,pin,cell
_608_,_608_/Y,cell,pin
